customer_id,age,gender,city,device
1,21,Male,New York,Desktop
2,28,Female,LA,Mobile
3,56,Male,Chicago,Mobile
4,45,Female,Chicago,Desktop
5,52,Female,Chicago,Desktop
6,20,Male,LA,Desktop
7,38,Female,LA,Mobile
8,53,Male,New York,Mobile
9,19,Male,LA,Mobile
10,26,Female,Chicago,Mobile
11,46,Female,Chicago,Desktop
12,68,Female,LA,Desktop
13,28,Female,Chicago,Desktop
14,59,Male,LA,Desktop
15,49,Female,Chicago,Desktop
16,47,Female,Chicago,Desktop
17,49,Male,LA,Mobile
18,57,Female,LA,Desktop
19,37,Female,LA,Mobile
20,49,Female,Chicago,Mobile
21,68,Female,Chicago,Mobile
22,70,Male,Chicago,Mobile
23,21,Male,LA,Mobile
24,61,Male,Chicago,Mobile
25,35,Male,New York,Mobile
26,45,Male,New York,Desktop
27,41,Male,New York,Mobile
28,23,Male,New York,Mobile
29,20,Male,LA,Desktop
30,26,Male,Chicago,Mobile
31,51,Male,LA,Mobile
32,68,Male,New York,Mobile
33,18,Female,Chicago,Mobile
34,36,Female,LA,Mobile
35,37,Female,Chicago,Mobile
36,34,Female,Chicago,Mobile
37,48,Male,New York,Desktop
38,24,Male,LA,Mobile
39,51,Female,LA,Desktop
40,27,Female,LA,Desktop
41,56,Female,Chicago,Mobile
42,62,Male,Chicago,Mobile
43,34,Male,New York,Mobile
44,28,Male,LA,Mobile
45,50,Male,New York,Mobile
46,63,Female,New York,Desktop
47,23,Male,Chicago,Desktop
48,34,Female,LA,Mobile
49,27,Male,LA,Desktop
50,28,Male,Chicago,Mobile
51,33,Male,New York,Mobile
52,29,Male,New York,Mobile
53,19,Female,LA,Desktop
54,52,Female,New York,Mobile
55,64,Female,LA,Mobile
56,55,Male,LA,Mobile
57,24,Female,LA,Mobile
58,51,Male,Chicago,Desktop
59,36,Female,LA,Mobile
60,61,Female,New York,Mobile
61,37,Male,Chicago,Mobile
62,69,Female,New York,Desktop
63,58,Female,LA,Mobile
64,55,Male,New York,Desktop
65,19,Female,LA,Mobile
66,32,Female,New York,Mobile
67,54,Female,LA,Desktop
68,26,Female,LA,Mobile
69,34,Male,New York,Mobile
70,57,Female,Chicago,Desktop
71,31,Male,New York,Desktop
72,67,Male,Chicago,Desktop
73,36,Female,LA,Mobile
74,69,Female,LA,Desktop
75,51,Female,Chicago,Desktop
76,49,Female,LA,Mobile
77,28,Female,Chicago,Desktop
78,53,Female,Chicago,Mobile
79,55,Male,New York,Desktop
80,29,Male,LA,Mobile
81,69,Male,Chicago,Mobile
82,26,Female,LA,Mobile
83,63,Female,LA,Mobile
84,51,Female,New York,Mobile
85,52,Female,New York,Desktop
86,51,Male,Chicago,Desktop
87,28,Male,LA,Mobile
88,43,Female,Chicago,Mobile
89,47,Female,Chicago,Mobile
90,69,Female,Chicago,Mobile
91,43,Male,LA,Desktop
92,43,Female,Chicago,Desktop
93,63,Female,LA,Desktop
94,63,Male,Chicago,Mobile
95,52,Male,LA,Desktop
96,58,Male,LA,Desktop
97,51,Female,Chicago,Mobile
98,70,Male,New York,Desktop
99,31,Female,New York,Mobile
100,42,Male,LA,Mobile
101,49,Male,New York,Desktop
102,48,Female,Chicago,Mobile
103,47,Male,New York,Desktop
104,18,Female,Chicago,Mobile
105,66,Female,Chicago,Desktop
106,47,Female,Chicago,Desktop
107,19,Male,Chicago,Desktop
108,29,Female,LA,Mobile
109,21,Male,LA,Desktop
110,47,Female,New York,Mobile
111,36,Female,New York,Desktop
112,20,Female,Chicago,Desktop
113,31,Female,LA,Mobile
114,48,Female,New York,Desktop
115,70,Female,LA,Desktop
116,59,Female,Chicago,Desktop
117,51,Male,Chicago,Mobile
118,43,Male,Chicago,Mobile
119,37,Male,New York,Desktop
120,53,Male,Chicago,Desktop
121,21,Male,New York,Desktop
122,41,Male,LA,Desktop
123,22,Female,LA,Desktop
124,28,Female,LA,Desktop
125,47,Male,Chicago,Desktop
126,58,Male,LA,Desktop
127,28,Male,New York,Desktop
128,30,Female,New York,Desktop
129,26,Male,New York,Desktop
130,69,Female,LA,Desktop
131,35,Female,Chicago,Desktop
132,66,Female,Chicago,Mobile
133,41,Female,LA,Desktop
134,29,Female,LA,Desktop
135,48,Male,New York,Desktop
136,42,Male,New York,Mobile
137,40,Male,LA,Mobile
138,64,Female,New York,Desktop
139,33,Female,Chicago,Desktop
140,48,Male,LA,Desktop
141,30,Female,New York,Mobile
142,68,Male,LA,Desktop
143,27,Female,LA,Desktop
144,23,Female,New York,Mobile
145,63,Male,Chicago,Mobile
