product_id,product_name,category,price
1,Product 1,Electronics,454.34
2,Product 2,Electronics,163.5
3,Product 3,Electronics,32.12
4,Product 4,Fashion,389.67
5,Product 5,Home,131.97
6,Product 6,Electronics,218.85
7,Product 7,Fashion,380.84
8,Product 8,Home,45.56
9,Product 9,Electronics,458.54
10,Product 10,Fashion,456.25
11,Product 11,Fashion,217.62
12,Product 12,Home,80.92
13,Product 13,Home,189.05
14,Product 14,Electronics,291.76
15,Product 15,Electronics,370.68
16,Product 16,Home,451.72
17,Product 17,Home,417.67
18,Product 18,Fashion,111.59
19,Product 19,Home,364.55
20,Product 20,Home,381.93
21,Product 21,Fashion,396.79
22,Product 22,Fashion,40.08
23,Product 23,Fashion,249.7
24,Product 24,Home,406.51
25,Product 25,Fashion,338.2
26,Product 26,Home,375.29
27,Product 27,Fashion,68.15
28,Product 28,Electronics,438.96
29,Product 29,Electronics,27.55
30,Product 30,Electronics,352.5
31,Product 31,Fashion,14.81
32,Product 32,Fashion,23.2
33,Product 33,Electronics,157.56
34,Product 34,Electronics,202.78
35,Product 35,Fashion,433.47
36,Product 36,Electronics,351.78
37,Product 37,Electronics,43.26
38,Product 38,Fashion,24.99
39,Product 39,Home,93.74
40,Product 40,Electronics,92.43
41,Product 41,Electronics,168.71
42,Product 42,Fashion,43.56
43,Product 43,Fashion,336.7
44,Product 44,Fashion,77.54
45,Product 45,Fashion,352.1
46,Product 46,Home,334.7
47,Product 47,Fashion,299.48
48,Product 48,Home,225.52
49,Product 49,Electronics,373.67
50,Product 50,Electronics,376.96
51,Product 51,Home,168.45
52,Product 52,Home,327.08
53,Product 53,Home,388.26
54,Product 54,Electronics,173.87
55,Product 55,Home,475.41
56,Product 56,Fashion,333.59
57,Product 57,Electronics,465.99
58,Product 58,Home,344.51
59,Product 59,Electronics,423.76
60,Product 60,Fashion,384.38
61,Product 61,Home,241.51
62,Product 62,Home,429.47
63,Product 63,Home,205.52
64,Product 64,Home,230.16
65,Product 65,Fashion,447.67
66,Product 66,Fashion,340.38
67,Product 67,Home,175.57
68,Product 68,Fashion,416.43
69,Product 69,Home,219.11
70,Product 70,Electronics,118.53
71,Product 71,Home,33.21
72,Product 72,Electronics,464.77
73,Product 73,Home,211.29
74,Product 74,Fashion,488.84
75,Product 75,Electronics,368.7
76,Product 76,Electronics,15.61
77,Product 77,Fashion,95.96
78,Product 78,Fashion,111.62
79,Product 79,Fashion,153.46
80,Product 80,Fashion,167.13
81,Product 81,Electronics,10.54
82,Product 82,Home,477.85
83,Product 83,Fashion,443.77
84,Product 84,Fashion,325.83
85,Product 85,Fashion,252.0
86,Product 86,Home,426.15
87,Product 87,Electronics,223.08
88,Product 88,Fashion,244.0
89,Product 89,Electronics,210.7
90,Product 90,Electronics,403.86
91,Product 91,Home,360.58
92,Product 92,Electronics,413.53
93,Product 93,Home,174.76
94,Product 94,Electronics,368.03
95,Product 95,Fashion,135.32
96,Product 96,Fashion,102.81
97,Product 97,Electronics,117.56
98,Product 98,Electronics,390.28
99,Product 99,Home,213.84
100,Product 100,Home,189.13
101,Product 101,Fashion,119.21
102,Product 102,Home,63.93
103,Product 103,Electronics,357.02
104,Product 104,Electronics,153.37
105,Product 105,Electronics,356.51
106,Product 106,Electronics,206.93
107,Product 107,Home,495.36
108,Product 108,Fashion,69.58
109,Product 109,Fashion,11.89
110,Product 110,Fashion,366.09
111,Product 111,Electronics,196.37
112,Product 112,Fashion,455.55
113,Product 113,Electronics,167.39
114,Product 114,Home,218.25
115,Product 115,Electronics,364.41
116,Product 116,Fashion,81.8
117,Product 117,Fashion,298.66
118,Product 118,Fashion,244.53
119,Product 119,Fashion,484.49
120,Product 120,Home,393.69
121,Product 121,Fashion,254.73
122,Product 122,Fashion,327.87
123,Product 123,Electronics,87.28
124,Product 124,Home,177.37
125,Product 125,Fashion,395.48
126,Product 126,Electronics,456.84
127,Product 127,Fashion,479.53
128,Product 128,Fashion,245.79
129,Product 129,Fashion,360.96
130,Product 130,Fashion,313.35
131,Product 131,Fashion,343.11
132,Product 132,Home,496.57
